ilkid,firstname,lastname,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
JONESSA01 ,Sam,Jones,N,154,4654,2909,0,0,720,358,0,0,0,395,2572,1149,753,611,0,0
JonesSo01 ,Solomon,Jones,N,16,106,18,11,13,24,3,2,3,1,12,22,8,4,2,0,0
JONESST01 ,Steve,Jones,A,37,1224,559,0,0,144,61,0,0,0,132,505,224,141,111,0,0
JONESWA01 ,Wali,Jones,A,5,46,22,0,0,2,4,0,0,0,6,21,8,6,6,0,0
JONESWA01 ,Wali,Jones,N,70,1761,833,0,0,166,202,0,0,0,234,821,333,215,167,0,0
JONESWA02 ,Wallace,Jones,N,6,8,75,0,0,0,22,0,0,0,28,76,23,34,29,0,0
JONESWI01 ,Wil,Jones,A,29,936,323,0,0,216,81,0,0,0,118,306,142,47,39,0,0
JONESWI02 ,Willie,Jones,N,16,287,157,0,0,37,43,0,0,0,43,158,66,29,25,0,0
JORDACH01 ,Charles,Jordan,A,2,18,2,0,0,5,2,0,0,0,9,6,1,0,0,0,0
JORDAED01 ,Eddie,Jordan,N,7,93,38,0,0,15,23,10,3,1,6,40,15,9,8,1,0
JORDAMI01 ,Michael,Jordan,N,179,7474,5987,847,305,1152,1022,376,158,546,541,4497,2188,1766,1463,446,148
JORDARE01 ,Reggie,Jordan,N,12,88,29,11,4,15,12,6,1,3,12,21,12,9,4,1,1
JORDOPH01 ,Phil,Jordon,N,9,161,84,0,0,36,7,0,0,0,24,75,27,38,30,0,0
JORGENO01 ,Noble,Jorgensen,N,19,194,177,0,0,58,23,0,0,0,75,148,59,89,59,0,0
JOYCEKE01 ,Kevin,Joyce,A,37,846,280,0,0,43,87,0,0,0,89,300,115,63,50,0,0
JUDKIJE01 ,Jeff,Judkins,N,7,10,9,1,3,4,0,1,0,0,0,8,4,0,0,3,1
KAFTAGE01 ,George,Kaftan,N,21,232,93,0,0,36,24,0,0,0,48,84,32,45,29,0,0
KALAFED01 ,Ed,Kalafat,N,15,235,103,0,0,63,11,0,0,0,49,79,32,60,39,0,0
KAMANCH01 ,Chris,Kaman,N,11,324,118,67,21,88,10,5,9,33,38,86,51,21,16,0,0
